age_group,native_male_rate,native_female_rate,immig_male_rate,immig_female_rate
0-4,0.0045188384689816155,0.00450110935360248,0.020998091082628855,0.025903785937944776
5-9,0.004309880400818877,0.004570477794667433,0.04998634252936356,0.04924454392837156
10-14,0.004244170308209908,0.0044844426697791566,0.050053821313240036,0.04530656538252849
15-19,0.005083671247951579,0.00493311352453343,0.05279927173418298,0.06206742576467962
20-24,0.011675876645700172,0.0127073916691477,0.12596789423984892,0.17619047619047623
25-29,0.015744406592394806,0.015545071869717493,0.14329836519516478,0.15841457974893264
30-34,0.015939918070095586,0.012265026121771399,0.06169379347605862,0.04229331478744675
35-39,0.014241893076248903,0.008801019065365463,0.047314368212094365,0.023389951867616058
40-44,0.01172456123924555,0.0074844300027078255,0.04078664683523384,0.019734550942228073
45-49,0.010206754901652572,0.006369760950322161,0.03804132809884658,0.013643305616833532
50-54,0.010093941262988092,0.005983061238391498,0.028368582764072437,0.009660128409023973
55-59,0.00846661605568923,0.005344931795825976,0.019325538699391246,0.005563456872751611
60-64,0.0045930121648788645,0.0032286863893746863,0.01232477185059742,0.0029812452571098182
65-69,0.001211972177334364,0.0012315270935960591,0.006794833769245287,0.0024023808670084984
70-74,0.000688307651316666,0.0009269793115071841,0.008156274213939075,0.0024848797411974313
75-79,0.0005379693074353022,0.0006983862819103093,0.006522383634746517,0.0016159532405019767
80-84,0.0005960998041386358,0.0009605625634333769,0.0036319612590799033,0.001759530791788856
85+,0.0007295719844357977,0.0009076222113307557,0.004389815627743635,0.002598813079399558
